SIGNAL NAME,SIMPLE EXPLANATION
PP3V3_UPC1_LDO,
PPVIN_S5_H5_COMPUTING_ISNS,"This is a typo of PPVIN_S5_HS_COMPUTING_ISNS When you see PPVIN_S5_H5_COMPUTING_ISNS, assume they meant to type PPVIN_S5_HS_COMPUTING_ISNS"
P1V5CPU_EN,
SMS_INT_L,
820_2915,
HDA_SDOUT,
SMC_PM_G2,"This is a typo of SMC_PM_G2_EN When you see SMC_PM_G2, assume they meant to type SMC_PM_G2_EN"
P5VS3_PGOOD,P5VS3_PGOOD indicates that the PP5V_S3 power rail is functioning properly.
SMC_LID_R,SMC_LID_R is the signal coming from the hall sensor that detects whether the laptop screen is closed or open. This must be high in order for SMC_LID to be high. SMC_LID has to be high for the machine to not fall asleep and for it to have a backlight.
CHGR_VNEG,
PP1V2_CAM,
PP1V05_TBTCIO,
ALL_SYS_PWGD,"This is a typo of ALL_SYS_PWRGD. When you see ALL_SYS_PWGD, assume they meant to type ALL_SYS_PWRGD"
PP3V3_LCDVDD_SW,
PP3V3_SUS_FET,
I2C_BKLT,"I2C_BKLT is a data line between the LCD screen and the LED driver. This data line cannot short to ground. If it does, the screen cannot talk to the LED driver, and the LED driver will not allow the circuit to produce a backlight."
P5VS5_EN,P5VS5_EN is a signal that turns on the PP5V_S5 power rail. Signals with _EN on the end enable whatever came before the _EN if the signal is high. 
SYSCLK_CLK25M_X2_R,
SYSCLK_CLK25M_X1,
EG_BKLT_EN,
PPVIN_S0_CPUVR_VIN,
PPBUS_S0_LCDBKLT_PWR,
SMBUS_SMC_1_S0_SCL,
SMC_REST_L,
LVDS_BKL_PWM_RC,
LCDBKLT_FB,"LCDBKLT_FB is a feedback line between backlight output and the feedback pin on the LED driver. When this connection is broken, backlight output will be equal to PPBUS_G3H voltage of the system rather than boosting. Since this point is the highest voltage in the system, it is the fastest to corrode when liquid damaged, so it is a very common point to check when there is no backlight. "
4_L,
GPUVCORE_PGOOD,
SSD_BOOT_L,
STORAGE_EN,
SSD_SR_EN_L,
PP1V_S5G_REG,
PP1V0_S0SW,
SMC_CHGR_BMON_ISENSE,
PPBUS_HS_OTH3V3,
SMC_RESET_R_L,
DCIN_ISOL_GATE_R,
PP1V1_SLPDDR,
PP5V_S0_KBD,
CPU_ZVM_L,
PP1V2_SSD_COLD,
SMC_4FINGERS_RST,
LID_OPEN_LEFT,
PP1V1_UPC,
VOUT_RTC,
1V8_G3S,
PP1V5_UPC0_LDO_CORE,
PP1V5_UPC1_LDO_CORE,
PM_SL_S4_L,
820_2530,
PP2V5_NAND,PP2V5_NAND is a power rail that powers the NAND memory for the soldered on SSD of newer macbooks and must be present for the internal SSD to work. 
PP3V3_G3S_EN,PP3V3_G3S_EN is a signal that enables the PP3V3_G3S power rail when present. Signals with _EN on the end enable whatever came before the _EN if the signal is high. 
D_R,
PVCCSA_PGOOD,
MCP_PS_PWRGD,
GND_SMC_AVSS,
SYS_PWROK,
PP18V5_DCIN,
CPUIMVP_TONA,
P1V8GPU_EN,
P1V8S0_EN,
ISNS_LCDBKLT_P,
PP3V3_S3_FET,
SPI_SMC_CS_L,
RTC_CLK32K_XTALOUT,
RELEASE_X86_64,
PPVIN_S4_TPAD_FUSE,
BKLT_EN_L,
SMBUS_SMC_1_S0_SDA,
UPC_XA_GATE2,
SPI_CLK,
PP1V8_CAM,PP1V8_CAM is a 1.8v power rail for powering the webcam
TPAD_SPI_IF_EN,
SMC_BCACOK,"This is a typo of SMC_BC_ACOK When you see SMC_BCACOK, assume they meant to type SMC_BC_ACOK"
SPI_MLBROM_CS_L,"SPI_MLBROM_CS_L is a signal that goes between the SPI ROM chip and another chip on machines with quad SPI, that can frequently corrode on 13” Macbook Air from 2015 because it is near the corner where liquid seeps in. This being corroded can stop PM_SLP_S4_L from being present. "
CPUVR_PHASE2,
DFR_DISP_SMC_RST_L,
PP1V5_S0SW_AUDIO_HDA,
PPVPCORE_S5,
P3V3G3H_FB,
PCI_RESET_L,
PP3V3_G3S_X,
PP3V0_S5_AVREF_SMC,
USBC_TB_CC2,USBC_TB_CC2 is a line between the USB-C muxing chip such as the CD3217 or CD3215 and the USB-C charger. Communication must happen on this line in order for the USB-C charger to put out 20v.
CHGR_EN_MVR_R,
PP5V5_S5,"This is a typo of PP5V_S5 When you see PP5V_S5, assume they meant to type PP5V_S5"
PP1V8_S4,"PP1V8_S4 is a 1.8v power rail when the machine is in an S4, suspend to disk state. "
CPU_VR_EN_R,
PP0V9_SSD_REG,PP0V9_SSD_REG is a power rail that powers the soldered on NAND memory for the SSD inside newer Macbooks. This must be present for the machine’s SSD to work. 
CHGR_LX1,
PPVCCGT_CPU_PH1,
EDP_AUXCH_N,
PP3V3_G3H_RTC_REG_R,
USBC_TA_CC1,
USBC_TA_CC2,
PP1V8_SLPS2RSW_DFR,
SMBUS_SMC_5_G3H_SCL,
PPVBUS_USBC0,
PP1V8_AON_MPMU,
1V2_S2,
820_3787,
PP18V5_S3,
CPUGT_PWM1,
PPVCCGT_S0,
PP2V5_NAND_SSD,PP2V5_NAND_SSD is a power rail that powers the soldered on NAND memory for the SSD on Macbooks with soldered on storage and must be present for the SSD to show up. 
GPU_SIGNAL,
ALL_SYS_PWRDGD,"This is a typo of . When you see ALL_SYS_PWRDGD, assume they meant to type "
PP0V9_S5,
PP3V3_G3_RTC,
PP15V_T29,
TPAD_USB_IF_EN_CONN,
WS_LEFT_SHIFT_KBD,"This is a signal from the keyboard for the left shift key, which is significantly different from the right shift key when it comes to resetting the SMC/PRAM. "
P1V5S0_PGOOD,P1V5S0_PGOOD is a signal that asserts itself when the PP1V5_S0 power rail turns on and works 
PPVIN_S0_CPUIMVP,
PP1V5_GPU_REG,
PPVIN_SW_TBTBST,
LCDBKLT_DISABLE,
PM_ALL_GPU_PGOOD,
PP18V5_Z2,
PPRTC_G3H,"This is a typo of PPVRTC_G3H When you see PPRTC_G3H, assume they meant to type PPVRTC_G3H"
VIDEO_ON,
PP5V_SUS_FET,
P3V42G3H_BOOST,
SPI_CS0_L,
OFF_L,
PP3V3_WLAN,PP3V3_WLAN is a 3.3v power rail that powers the wifi circuit or wifi card. This can go missing when the inductor acting as a fuse before PP3V3_WLAN blows.
PP1V05_S0_PCH,
PPVCORE_S0_GFX,
PP1V5_S0SW_AUDIO,PP1V5_S0SW_AUDIO is a power rail 
PP3V3_LCDVDD_SW_F,
SMC_MCP_CORE_ISENSE,
LED_RETURN_6,PP3V3_WLAN
P3V3S5_LL,
UPC_XA_GATE1,
TPAD_SPI_INT_L,
SPI_MOSI,SPI_MOSI is a signal between the CPU or PCH and the SPI ROM bios chip that is necessary for the machine to POST and boot. If this signal line is corroded or the BIOS chip has failed then you will not get PM_SLP_S4_L and the machine will not boot. Very often this line is corroded by liquid damage. 
P5VS3_ENTRIP,
PPBUS_S5_HS,
SPI_MLB_IO0_MOSI,
WIFI_EVENT_L,
P3V3S5_PGOOD,P3V3S5_PGOOD is a signal that denotes that the PP3V3_S5 power rail is working.
BKLT_PWM_KEYB,
P1V8S3_PGOOD,P1V8S3_PGOOD is a signal that denotes that the PP1V8_S3 power rail is working.
SMC_ON_OFF,SMC_ONOFF tells the computer that the power button has been pressed.
PANEL_P3V3_EN,
SMC_LID_LEFT_R,
EDP_PANEL_PWR_OR_PSR_EN,
PPVCC_S0_CPU_REG,
PPDCIN_E85_SS,
LCD_IRQ_L,
CPUVR_PWM2,
PANEL_FET_EN_DLY,
EDP_AUXCH_C_N,
EDP_AUXCH_C_P,
PCH_RTCRST_L,
PP3V3_S0_FET_R,
P1V8S3_EN,P1V8S3_EN is a signal that enables the PP1V8_S3 line when it is high. Signals with _EN on the end enable whatever came before the _EN if the signal is high. 
PM_SLP_SUS,
SMC_TXX,
RTC_RST_L,
PP20V_USBC_XB_VBUS_F,
LCD_BKLT_PWM_R,
PPBUS_S4_HS_TPAD,
DCIN_ISOL_GATE,
PP1V8D_UPC_XA_LDO,
CPUVR_VCC,
PMU_LDO3_OUT,
SMC_BYPASS,
PP2V7_NAND_VCC,
PP1V25_PMICVREF,
I2C_UPC_SDA,
P3V3_G3H,
CPUCORE_SW1,
PP3V3_TBT_T_SX,
SM_INTRUDER_L,
I2C_PWR_SCL,"I2C_PWR_SCL is the clock line of the SMBUS data line between the system management controller(SMC), battery, ISL9240 battery charging chip, and power management unit(PMU). This line is necessary for the machine to communicate with the battery, see the battery, and use the battery. When this line is malfunctioning or shorted to ground, the machine will have an X icon over the battery and not run off the battery. "
SMBUS_3V3_BATT_SCL,
TBT_A_HPD,
VCCST_PWRGD,
PPVCORE_S0_GFX_PH1,
PPVCCSA_CPU_R,
PP12V_ACDC,
PPVCORE_S0_GFX_PH2,
EDP_PANEL_PWR_BUF_EN,
PP1V8_SSD_HOT,
VR_READY,
PMU_SYS_ALIVE,
USBC_TB_CC1,
PMU_COLD_RESET_L,
DFR_LID_OPEN_L,
DP_TBTPA_HPD,
I2C_SMC_PWR_3V3_SDA,
PP0V9_SSD1,
U3100_R,
PP1V5_VLDOINT_MPMU,
PPCHGR_VDDA,
PP3V3_S2_LDO,
USB_B,
P5VS3_LL,
SMC_S4_WAKERC_EN,
PP5VS3_EN,
CPU_VIDSCLK,
PP5V_MAIN_ALSCAM_F,
PPVDD_PCPU_AWAKE,
P1V8S0_PGOOD,
PP1V0_S0GPU_ISNS,
ISNS_LCDBKLT_N,
PUBS_G3H,"This is a typo of PPBUS_G3H When you see PUBS_G3H, assume they meant to type PPBUS_G3H"
3V_PCH,
PPDDRVTT_S0,
PVCCSA_EN,
P3V3S5_DRVH,
PP3V3_S3_FET_R,
SMC_SYS_KBDLED,
ONOFF_L,"This is a abbreviation of SMC_ONOFF_L.When you see ONOFF_L, assume they meant to type SMC_ONOFF_L"
PP3V3_S5_EN,
PP3V3_WLAN_F,
S4_L,
VRTC_G3H,
PP3V3_SUS_FET_R,
PP3V3_S0SW_LCD_R,
PP1V35_S3_CPUDDR,
P3V3S4_EN,P3V3S4_EN is a signal that enables the PP3V3_S4 power rail when it is high. Signals with _EN on the end enable whatever came before the _EN if the signal is high. 
PPVBAT_G3H,
PPBUS_S0_LCDBKLT_PWR_SW,PPBUS_S0_LCDBKLT_PWR_SW is a line after the inductor in the DC to DC boost circuit for backlight that connects to the LED driver’s switch(SW) pin where it is switched to ground rapidly in order to create the boosted voltage for the backlight circuit. 
PPVIN_S5_HS_OTHER5V_ISNS,PPVIN_S5_HS_OTHER5V_ISNS IS PPBUS_G3H voltage after it has passed through a current sense resistor that supplies the TPS51980 and its associated buck converter with voltage to create the PP5V_S4 power rail.
SPI_CLK_R,
PPBUSS_G3H,"This is a typo of PPBUS_G3H When you see PPBUSS_G3H, assume they meant to type PPBUS_G3H"
PCH_DSWRMEN,
PP3V3_S0_EDP_SW,
P1V05S0_EN,P1V05S0_EN is a signal that enables the PP1V05_S0 power rail when it is high. Signals with _EN on the end enable whatever came before the _EN if the signal is high. 
WS_KBD,
DEV_ID,
SMC_FAN_0_TACH,SMC_FAN_0_TACH is a signal that comes from the SMC that controls fan speed. Often when the fan is spinning too fast it is because the user has ripped off a resistor that this signal goes through before the signal reaches the fan while unplugging the fan.
XDP_USB_EXTB_OC_L,
ALL_SYS_PWRGD_R,"This is a typo of ALL_SYS_PWRGD. When you see ALL_SYS_PWRGD_R, assume they meant to type ALL_SYS_PWRGD"
PCH_SUSACK_L,
TPAD_USB_IF_EN,
P5VS4RS3_PGOOD,P5VS4RS3_PGOOD is a signal that confirms the PP5V_S4RS3 power rail is working properly. 
E85_CC1,
BKL_SW,"BKL_SW means “BACKLIGHT SWITCH” – DC to DC boost circuits increase voltage by putting a lower voltage, like 8 volts, through an inductor. On the other side of the inductor, it is switched to ground rapidly - on this side, you will end up with an increased voltage as a result of the switching. BKL_SW usually refers to the pin on the LED driver that is attached to the inductor. "
3V3_S5_SMC,
DFR_DISP_PWR_EN,
DP_INT_HPD_R,
P3V3_SUS,
HPWR_EN_L,
PPVCCCPU_S0G_PH1,
SMC_BMON_DISCRETE_ISENSE,
CPUCORE_PHASE1,
DP_INT,
PPVIN_S0_CPUVR,
3V0_G3H,
SMC_MCP_VSENSE,
SMC_MCP_DDR_ISENSE,
PM_SLP_S3L,
PM_RSMRST_PCH_L,
PPBUS_HS_3V3G3HRTC_X,
PP1V05_S3,
I2C_TCON_SCL,
UPC_XB_GATE1,
PM_OPC_ZVM_L,
PM_EN_REG_P5V_S4_R,
PM_PWRBTN,PM_PWRBTN refers to the power button signal line. This line is used to initiate the power-on sequence of the laptop.
PP20V_USBC_TB_VBUS,
P1V05S0_LL,
P2V7NAND_EN,"P2V7NAND_EN is a signal that enables the PP2V7_NAND power rail when it is high, which is a power rail necessary to turn on the SSD. Signals with _EN on the end enable whatever came before the _EN if the signal is high. "
P5VG3S_PGOOD,P5VG3S_PGOOD is a signal that indicates that the PP5V_G3S power rail is functioning properly. 
PMU_LDO3_OUT_R,
TBA_GATE_Q1,
PP1V5_UPC_TA_LDO_CORE,
PPVOUT_S0_LCDBKLT_F,
VCC_S0_CPU,
DP_INT_AUXCH_C_N,
PP1V8_SSD1,
PP0V9_SSD_FIXED,
PP3V3_G3H_VR,
P3V3WLAN_SS,
PP5V_WLAN,
PP3V3_S2_WLBT_ISNS,
PS_ON,
0_0C2,
P3V3S2_EN,
PP3V8_AON_MPMU,
VIN_RTC,
PP3V3_S2SW_SNS,
EDP_ML_C_N,
EDP_ML_C_P,
PPBUS_GH3,
PP_BATT_VCC,
3332_A,
PPUBS_G3H,
P5V_S4RS3_VFB1,
PP5V_S4_TPAD_CONN,
PVRTC_G3H,
CHRG_ACIN,
PP1V8_GPUIFPX,
PPVCCSA_S0,
PP3V43_G3H,"This is a typo of PP3V42_G3H When you see PP3V43_G3H, assume they meant to type PP3V42_G3H"
SPI_MLB_MISO,SPI_MLB_MISO is a line between the SPI ROM BIOS chip and resistors that sit between it and the PCH. This often corrodes on Macbook Airs due to liquid damage and results in missing PM_SLP_S4_L and no bootup.
SLP_SUS,
PP1V05_S0_PCH_VCCADPLL,
PPBUS_S5,
S0_CPU,
PP1V05_S0GPU,
PP3V3_TPAD_CONN,
PP3V3_S0_LCD_F,
PPBUS_S0_LCDBKLT,
PPVCCSA_S0_REG_R,
PP3V3_S3RS0_CAMERA,PP3V3_S3RS0_CAMERA is a 3.3 volt power rail that powers the camera. 
SMC_BATLOW,SMC_BATLOW refers to a power management signal that indicates a low battery condition. 
PCH_PM_SLP_S0_L,
PP1V35_S3RS0_CPUDDR,
CHGR_VDDP,
SMC_ACTUATOR_DISABLE_L,
PPVCOMP_S0_CPU,
USB_TPAD_P,USB_TPAD_P is the positive signal in a USB data signal transferring keyboard & trackpad use to the CPU from the trackpad. 
TPAD_SPI_IF_EN_CONN,
1V5_S3,
PP1V5_S3_DDR,
PP5V_S0_HDD,
SPI_MLB_IO2_WP_L,
SPI_MLB_IO3_HOLD_L,
P3V42G3H_SW,
DCINVSENS_EN_L,
CAMERA_PWR_EN,
CHGR_CSO_R_N,
PPVRTC_G3,
SMC_PROCHOT,
ISOLATE_CPU_MEM_L,
PP3V3_T29,
P1V05S0_PGOOD,
P1V05_S0_VREF,
PP3V3_S0SW_LCD_UF,
ALL_SYS_PWRGOOD,"This is a typo of ALL_SYS_PWRGD. When you see ALL_SYS_PWRGOOD, assume they meant to type ALL_SYS_PWRGD"
PP3V3_S3_PSOC,
MEMVTT_PWR_EN,
1V8_S0,
PP5V_S4R3,"This is a typo of PP5V_S4RS3 When you see PP5V_S4R3, assume they meant to type PP5V_S4RS3"
GTVR_FCCM,
PP3V3_G3H_REG_R,
P1V8SUS_PGOOD,
PP3V3_S4_FET_R,
AL_SYS_PWRGD,
1V8_S3,
PPVCCGT_S0G_PH3,
P3V42G3H_FB,
BKLT_SENSE_OUT,
PP5V_S0_VCORE1,
CPUVR_FCCM,
TBT_X_SPI_MISO,
PP3V3_G3H_PMU_VINRTC_R,
PMU_ACTIVE_READY,
PPVIN_G3H,
PP3V3_S0_GPU,
PPCPUVCC_S0_CPU,
P3V3G3H_LX,
TBA_LX2,
DCIN_ISENSE,
PP3V3_TBT_T_S0,
CPU_C10_GATE_L,
UPC_XB_GATE2,
PP1V0_S3,
PP1V8_S3_MEM,
SSD_PWR_EN_CONN_L,
PP1V8A_UPC_XA_LDO,
VR1_3P3,
ALS_SCL,
PP3V_G3H,"This is a typo of PP3V3_G3H When you see PP3V_G3H, assume they meant to type PP3V3_G3H"
LID_OPEN_RIGHT,
PP2V7_NAND_PVCC,
PP5V_S0_ALSCAM,
CPUCORE_PWM1,
PPVCCGT_CPU_PH3,
CHGR_VDDA,
PP1V_PCH_REG_R,
PP1V2_AWAKE_SOC_PCIEPLL_F,
12V_S0_FET,
SPI_DFR_MISO_R,
P1V1_SLPDDR_SOCFET_EN,
PPVCC_CPU_PH3,
PP1V8_IO_SSD0,
12V_S5_FET,
P3V3_SSD_EN_L,
PP3V3_WLAN_R,
PPDCIN_AON_CHGR_R,
P3V3G3H_AGND,
I2C_PWR_SDA,"I2C_PWR_SDA is the SMBUS data line between the system management controller(SMC), battery, ISL9240 battery charging chip, and power management unit(PMU). This line is necessary for the machine to communicate with the battery, see the battery, and use the battery. When this line is malfunctioning or shorted to ground, the machine will have an X icon over the battery and not run off the battery. "
PP1V2_AWAKE_PLL,
PPVDD_SOC_S1,
TBT_X_SPI_CLK,
3V3_G3S,
PP0V855_S2SW_CIO,
PP1V2_S2_CIO,
PPVCC_NAND_SSD0,
P3V8AON_PWR_EN,
0_0C3,
SOC_DFU_STATUS,
AMR_RIGHT_OR_ND_1V8,
AXG_VCORE,
PPSUB_G3H,"This is a typo of PPBUS_G3H When you see PPSUB_G3H, assume they meant to type PPBUS_G3H"
PP_LCM_BL_ANODE,
PP5V_RT_REG,
RTC_RESET,
PPVIN_SOSW_LCDBKLT,
PPDCIN_E85,
PPVCCGT_S0G_PH2,
PP5VS4RSE_EN_R,
3209_A,
PM_SLP_S4_LG,"This is a typo of PM_SLP_S4_L. When you see PM_SLP_S4_LG, assume they meant to type PM_SLP_S4_L"
B_LDO,
PPBUS_SHORT,
PP3V3_S5_LCD,PP3V3_S5_LCD is a power rail that eventually powers circuitry in the LCD after going through something else. This is required for the LCD to turn on and have a nimage. 
PP3V42_G3H_PWRCTL,
CPUIMVP_TONB,
PPDCIN_G3H_OR_PBUS,
PPVIN_S5_5VS3,
PP0V675_S0_DDRVTT,
RSMRST_PWRGD,
BKL_ISET,
PP5V_S5_CUMULUS,
PP18V5_S4,
P1V5S0_EN,P1V5S0_EN is an enable signal that turns on the PP1V5_S0 power rail. Signals with _EN on the end enable whatever came before the _EN if the signal is high. 
MCPCORES0_EN,
PPVCORE_GPU_REG_R,
PBUSVSENS_EN,
PPVRTC_G3_PCH,
SYSCLK_CLK25M_X2,
SPKRAMP_SHDN_L,
AUD_PWR_EN,
PICKB_L,
P5V3V3_PGOOD,
DCIN_S5_VSENSE,
BC_ACOK,"This is a typo of SMC_BC_ACOK. When you see BC_ACOK, assume they meant to type SMC_BC_ACOK"
IA32_MCG_STATUS,
USB_EXTB_OC_L,
PPVP_FW,
CPU_PROCHOT_L,
PBUS_S0_VSENSE,
SLP_S4_L,
PP1V05_TBT,
PPVTT_S0_DDR,
SMBUS_PCH_DATA,
PP5V_S0_CPUVR,
SMC_LSOC_RST,
VMON_Q2_BASE,
PP1V2_S5SW,
USB_TPAD_CONN_N,
PCIE_CLK100M_SSD_P,
SMBUS_SMC_B_S0_SDA,
PCH_HSIO_PWR_EN,
SMC_ADAPTER,"SMC_ADAPTER_EN is an abbreviation of SMC_ADAPTER_EN, which enables the machine to work off of the power adapter when the proper power adapter is attached. Attacching an 85w Macbook Pro 15” power adapter to a 13” Macbook that requires a 60w power adapter is ok, attaching a 45w Macbook Air power adapter to a 15” macbook Pro that needs an 85w power adapter will result in SMC_ADAPTER_EN missing. "
SMC_BC_OK,"This is a typo of SMC_BC_ACOK When you see SMC_BC_OK, assume they meant to type SMC_BC_ACOK"
G3_POWERON_L,
LPC_AD,
SMC_WAKE_SCI_L,
PM_WLAN_EN_L,
AP_PWR_EN,AP_PWR_EN is a signal that enables power for the wifi circuit and wifi card. Signals with _EN on the end enable whatever came before the _EN if the signal is high. 
PP1V5_S0_REG,
P3V3_S4_EN,
GPU_VCORE,
CHGR_VNEG_R,
BMON_IOUT,
PPVCORE_SUS_PCH,
CHGR_LDO_P5V0,
CHGR_BOOT1,
PP_BUS_S5_HS,
PP3V3_G3H_UPC_XA,
CPUVR_PWM1,
SYSCLK_CLK32K_PCH,
USB_C,
CLEAN_ME,
PPBUS_G2H,
PP3V3_S5_T139,
PM_SLP_SX,
P5VS4_EN_RCD,
UPC_XA_UART_TX,
SMC_CLK12M_EN,
FET_EN_P12V_S0,
PVCCIO_EN,
SMC_NB_MISC_ISENSE,
PCH_BATLOW_L,
PM_EN_FET_P12V_S0,
SMC_RSMRST_L,
SSD_PWR_REQ,
PICCOLO_VEN1,
PPBUS_G3H_SPKRL,
UPC_T_5V_EN,
CHGR_LX2,
PP1V05_S0SW,
FAN_RT_TACH,
PPVCCGT_S0G_PH1,
PP5V_SOSW_LCD,
PP5V_S4_P2V7NAND_LB,
TBA_HPWR_EN_L,
PP20V_USBC_TA_VBUS,
I2C_UPC_SCL,
CPUVR_SWSA,
PP3V3_S0GPU_FET,
PP3V3_S0SW_TBT_X,
EDP_AUXCH,
DP_INT_ML_C_N,
PP5V_S4SW_ISNS,
HDA_SYNC,
CPUVR_SW1,
DFR_DISP_INT,
LCDBKLT_FET_DRV_R,
PP5V_G3S_ALSCAM,
PP3V3_G3H_SSD0,
PP3V3_S0SW_SSD_FET_R,
P2V5_SW1_TPS62180_SSD0,
SMBUS_SMC_4_G3H_SDA,
SMBUS_SMC_4_G3H_SCL,
UPC_X_5V_EN,
LPC_PWRDWN_L,
TBA_LX1,
PD_L,
PP5V_S0_FAN_CONN,
USBC_XB_CC2_CONN,
PP1V2_AWAKE_SOC_PLLCPU_F,
PP1V2_AWAKE_SOC_PLLSOC_F,
PP1V8_AWAKE_SOC_TSADC_RC,
3V3_S5G,
PPBUS_G3H_SSD1_SNS,
PCH_INTRUDER,
CHGR_PHASE1,
MP_KDP_ENTER,
PP5V_G3S_DFR_FILT,
PVDDQ_EN,
PP3V3_G3HSW_DFR,
SSD0_RESET_L,
TBT_A,
B_HPD,
LCDBKLT_FET_DRV,
REG_VIN_U7600,
MINI_CLKREQ_L,
PPVDD_ECPU_AWAKE,
U2800_T,
5V_SW_LCD,
SPI_ALT_IO0_MOSI,
SPI_ALT_IO1_MISO,
SPI_ALT_IO2_WP_L,
SPI_ALT_IO3_HOLD_L,
SPI_ALT_CS_L,
FORCE_DFU,
12V_S0_PWRCTL,
PP1V06_S2SW_DRAM,
IPD_LID_OPEN_1V8,
PP3V8_AON_MPMU_ISNS,
PM_PGOOD_FET_P1V0_S3,
LDO1_IN,
PP12V_MAIN,
I2C_SMC_PWR_SCL,
PP1V5_LDOINT_MPMU,
PP3V8_AON_SPMU_ISNS_VIN,
MY_BRAIN_EN_L,
PP1V0S_S0,
PCH_SMBALERT_L,
PANEL_PWR_EN,
PPVBAT_G3H_CHGR,
PP5_G3S,"This is a typo of  When you see PP3V3_S0_DDC_LCD, assume they meant to type "
PP3V3_S0_DDC_LCD,
CPUIMVP_PHASE1G,
PPVCORE_SO_CPU,"This is a typo of  When you see PP5V_S0_CPU_IMVP, assume they meant to type "
PP5V_S0_CPU_IMVP,
BKL_ISEN6,
TP_BKL_FAULT,
PCH_PWR_EN,
MINI_RESET_CONN_L,
PPDCIN_S5_S5,
P5VS0_EN_L,"P5VS0_EN_L is a signal that enables the PP5V_S0 5v power rail when it is low.  _L means whatever before the _L in the signal name is asserted when it is low voltage, such as 0.0v to 0.5v."
PP3V3_S0_FAN,
MEMVTT_EN_L,"MEMVTT_EN_L is a signal that enables memory VTT voltage power rail when it is low.  _L means whatever before the _L in the signal name is asserted when it is low voltage, such as 0.0v to 0.5v."
PP_GPU,
PP18V5_G3H,
PPVTT_S3_DDR_BUF,
VR_ON,
PCH_SYS_PWROK,
LCD_EN,
PP3V3_S0SW_SSD_FET,
PP3V3_S4_TBT,
PP3V3_FW_FWPHY,
PP1V8_S0_REG,
LINUX_SPI,
PP3V3_S5_VMON,
PP1V5_S3RS0_VMON,
PP3V3_S4SW_SNS_FET_R,
SMBUS_SMC_1,
I2C_CPUTHMSNS_SDA,
I2C_CPUTHMSNS_SCL,
USB_TPAD_N,USB_TPAD_N is the positive signal in a USB data signal transferring keyboard & trackpad use to the CPU from the trackpad. 
PPVIN_S5_HS_COMPUTING,
TPAD_SPI_CS_CONN_L,
SMBUS_SMC_2_S3_SCL,
SPI_MISO_R,SPI_MISO_R is a line between the SPI ROM BIOS chip and resistors that sit between it and the PCH. This often corrodes on Macbook Airs due to liquid damage and results in missing PM_SLP_S4_L and no bootup.
CPUIMVP_PHASE1,
SMBUS_SMC_BSA,
CAM_EXT_LDO_EN,
SMBUS_PCH_CLK,
TPAD_SPI_MOSI,
VMON_Q3_BASE,
VMON_Q4_BASE,
PP18V5_DCIN_ISOL,
PP0V75_S3_MEM_VREFDQ_A,
PPV5_S0,"This is a typo of PP5V_S0 When you see PPV5_S0, assume they meant to type PP5V_S0"
USB_TPAD_CONN_P,
BKL_FB,"This is backlight feedback. It goes from the output of the backlight circuit back to the LED driver, so it can see what it is doing. If this line is broken or corroded, the boost circuit will not boost PPBUS_G3H to a higher voltage for backlight, and backlight voltage output will be the same as the PPBUS_G3H input. This trace/via is usually the first to corrode since it is the highest voltage in the system."
SPI_MLB_IO1_MISO,
PP5VS4_EN,P5VS4_EN is a signal that enables the power chip responsible for creating PP5V_S4 when it is high. Signals with _EN mean that whatever is mentioned before the _EN will be enabled or turned on when the signal is high. 
LED_RETURN_2,
PPVAXG_S0,
USB_BT_CONN_P,
ADPATER_SENSE,"This is a typo of ADAPTER_SENSE When you see ADPATER_SENSE, assume they meant to type ADAPTER_SENSE"
DDRREG_PGOOD,
SPI_CS0_R_L,
SMBUS_SMC_3_SCL,"SMBUS_SMC_3_SCL is the clock line in the SMBUS data line between the trackpad temperature sensor, temperature sensors, and the system management controller(SMC). "
PP1V05_S4SW,
BKLT_EN_DIV,
BKL_SCL,
PP12V_LCD,
CHGR_SGATE_DIV,
PP3V0_G3H_AVREF_SMC,
PPVBAT_G3H_CHRG_REG,
S5_L,
PP3V3_S0_AUDIO_ANALOG,
CS4206_VREF_ADC,
HPAMP_REF,
CHGR_BOOT2,
3_S5,
PP1V05_S0_LDO,
P3V3SUS_EN_L,
SSD_PCIE_SEL_L,
DP_INT_HPD_CONN,
SMC_E,
PP5V_S3_P5VS0FET,
PP2V9_SYSCLK,
PP5V_S0_BKLT,
P1V2S5SW_HSMUX_EN,
PP3V3_G3,
SMC_1V2S3_ISENSE,
SMC_CHGR_INT_L,
PP1V_OPC_S0,
SMC_GPU_HI_ISENSE,
SMC_PWRFAIL_WARN_L,
P3V3G3H_BIAS,
PICCOLO_IUVD,
PCA9557D_RESET_L,
3V3_SW_LCD,
PM_EN_CPUVCC_R,
CPUVR_VIN,
PPVDDQ_S3_DDR,
PP3V3_S4_WLS,
CHGR_LDO_VDDA,
P3V3GPU_EN_L,
SPKRAMP_SHDN,
PPVIN_S0SW_LCDBKLT_F,
I2C_TCON_SDA,
DP_INT_ML_C_P,
DP_PWR,
PM_DSWPWRGD,
PP5VR3V3_SW_LCD_UF,
SMC_OMOFF_L,"This is a typo of SMC_ONOFF_L When you see SMC_OMOFF_L, assume they meant to type SMC_ONOFF_L"
USB_UPC_XB_P,
BATT_ISENSE,
SSD_EN,
VR_AON,
HDA_BIT_CLK,
P3V3WLAN_VMON,
PM_EN_CPUVCC,
